supplier_id,company_name,legal_form,supplier_category,material_specialty,address,postal_code,city,country,siren,siret,vat_number,iban,bic,bank_name
supplier_001,Jacques,SA,Fournisseur de semelles,Colle industrielle cuir/caoutchouc,avenue Augustin Guillon,53644,Parent-sur-Mer,France,007103131,00710313170370,FR50007103131,FR76 95583 89586 24004053155 59,LKGDFROM7N0,Société Générale
supplier_002,Nicolas Colin et Fils,SAS,Fournisseur d'œillets,Colle industrielle cuir/caoutchouc,avenue Noël Weiss,26841,Chevallier,France,144264283,14426428309937,FR67144264283,FR76 35156 34682 89697831196 07,MIUBFR540Z7,Société Générale
supplier_003,Rocher,EURL,Fournisseur de fil de couture,Cuir marron nubuck,"140, rue Robert",67379,Jean,France,558521561,55852156117462,FR97558521561,FR76 46954 19003 64519353257 11,WMEUFR30SYK,Crédit Mutuel
supplier_004,Collin Andre et Fils,SA,Fournisseur de textile,Talons bois,avenue de Blanchet,27619,Noël-sur-Mer,France,397049716,39704971675705,FR83397049716,FR76 24935 85280 15594192796 98,ZVMSFRGA2H3,Société Générale
supplier_005,Monnier et Fils,SARL,Fournisseur de talons,Cuir noir pleine fleur,"70, rue Le Goff",05488,Deschamps-sur-Mer,France,153748541,15374854158061,FR39153748541,FR76 18250 78765 35703898085 50,OVYBFRGLX4Z,La Banque Postale
supplier_006,Duhamel SARL,EURL,Fournisseur d'œillets,Semelles gomme,"43, rue de Blot",63832,Berthelot-sur-Blot,France,220273662,22027366204846,FR69220273662,FR76 04185 91952 72370985313 77,YQZCFRP9KW5,Crédit Agricole
supplier_007,Legros Lesage S.A.,EURL,Fournisseur de textile,Cuir noir pleine fleur,"18, rue Courtois",46643,Saint Danielle,France,623365378,62336537886776,FR58623365378,FR76 15195 77769 39314720408 91,AWSQFRK29LO,BNP Paribas
supplier_008,Launay Klein SARL,EURL,Fournisseur de talons,Lacets coton noir,chemin de Daniel,65305,Michel-la-Forêt,France,510719300,51071930007598,FR46510719300,FR76 17221 01183 17766460743 19,SIKIFRM4NN2,BNP Paribas
supplier_009,Coste Leblanc S.A.S.,SASU,Fournisseur de semelles,Colle industrielle cuir/caoutchouc,"6, chemin Élodie Brunel",25135,Saint Laurent,France,269858142,26985814244411,FR57269858142,FR76 39340 56934 31773440071 90,JDVLFR65MUC,La Banque Postale
supplier_010,Baudry Guillot SA,SASU,Fournisseur de semelles,Œillets métalliques,"2, rue Picard",61189,Charrierdan,France,116952765,11695276595862,FR69116952765,FR76 08585 99292 44840165562 28,FYUQFRJZAW7,Société Générale
